model,input_shape,output_shape,architectures,task,dataset,#labels,labels,task_specific_params,problem_type,finetuning_task
microsoft/swin-base-patch4-window7-224-in22k,224.0,1024.0,['SwinForImageClassification'],,imagenet-21k,21841.0,,,,
microsoft/swin-large-patch4-window12-384,384.0,1536.0,['SwinForImageClassification'],,imagenet,1000.0,,,,
microsoft/swin-large-patch4-window12-384-in22k,384.0,1536.0,['SwinForImageClassification'],,imagenet-21k,21841.0,,,,
microsoft/swin-large-patch4-window7-224,224.0,1536.0,['SwinForImageClassification'],,imagenet,1000.0,,,,
microsoft/swin-large-patch4-window7-224-in22k,224.0,1536.0,['SwinForImageClassification'],,imagenet-21k,21841.0,,,,
microsoft/swin-small-patch4-window7-224,224.0,768.0,['SwinForImageClassification'],,imagenet,1000.0,,,,
microsoft/swin-tiny-patch4-window7-224,224.0,768.0,['SwinForImageClassification'],,imagenet,1000.0,,,,
mmekias/vit-base-beans,224.0,768.0,['ViTForImageClassification'],,beans,3.0,"['angular_leaf_spot', 'bean_rust', 'healthy']",,,
mmgyorke/vit-world-landmarks,224.0,768.0,['ViTForImageClassification'],,hfpics,5.0,"['arc de triomphe', 'big ben', 'la sagrada familia', 'leaning tower of pisa', 'taj mahal']",,single_label_classification,
mrm8488/convnext-tiny-finetuned-beans,224.0,768.0,['ConvNextForImageClassification'],,beans,3.0,"['angular_leaf_spot', 'bean_rust', 'healthy']",,single_label_classification,
mrm8488/convnext-tiny-finetuned-eurosat,224.0,768.0,['ConvNextForImageClassification'],,eurosat,10.0,"['AnnualCrop', 'Forest', 'HerbaceousVegetation', 'Highway', 'Industrial', 'Pasture', 'PermanentCrop', 'Residential', 'River', 'SeaLake']",,single_label_classification,
mrm8488/data2vec-base-finetuned-imagenet1k,224.0,768.0,['Data2VecVisionForImageClassification'],,imagenet,1000.0,,,single_label_classification,
mrm8488/vit-base-patch16-224_finetuned-pneumothorax,224.0,768.0,['ViTForImageClassification'],,hfpics,2.0,"['normal', 'pneumothorax']",,,
nateraw/baked-goods,224.0,768.0,['ViTForImageClassification'],,hfpics,3.0,"['cake', 'cookie', 'pie']",,,
nateraw/baseball-stadium-foods,224.0,768.0,['ViTForImageClassification'],,hfpics,5.0,"['cotton candy', 'hamburger', 'hot dog', 'nachos', 'popcorn']",,,
nateraw/denver-nyc-paris,224.0,768.0,['ViTForImageClassification'],,hfpics,3.0,"['denver', 'new york city', 'paris']",,,
nateraw/doggos-lol,224.0,768.0,['ViTForImageClassification'],,hfpics,3.0,"['bernese mountain dog', 'husky', 'saint bernard']",,,
nateraw/donut-or-bagel,224.0,768.0,['ViTForImageClassification'],,hfpics,2.0,"['bagel', 'donut']",,,
nateraw/ex-for-evan,224.0,768.0,['ViTForImageClassification'],,hfpics,4.0,"['cheetah', 'elephant', 'giraffe', 'rhino']",,,
nateraw/food,224.0,768.0,['ViTForImageClassification'],,food101,101.0,"['apple_pie', 'baby_back_ribs', 'bruschetta', 'waffles', 'caesar_salad', 'cannoli', 'caprese_salad', 'carrot_cake', 'ceviche', 'cheese_plate', 'cheesecake', 'chicken_curry', 'chicken_quesadilla', 'baklava', 'chicken_wings', 'chocolate_cake', 'chocolate_mousse', 'churros', 'clam_chowder', 'club_sandwich', 'crab_cakes', 'creme_brulee', 'croque_madame', 'cup_cakes', 'beef_carpaccio', 'deviled_eggs', 'donuts', 'dumplings', 'edamame', 'eggs_benedict', 'escargots', 'falafel', 'filet_mignon', 'fish_and_chips', 'foie_gras', 'beef_tartare', 'french_fries', 'french_onion_soup', 'french_toast', 'fried_calamari', 'fried_rice', 'frozen_yogurt', 'garlic_bread', 'gnocchi', 'greek_salad', 'grilled_cheese_sandwich', 'beet_salad', 'grilled_salmon', 'guacamole', 'gyoza', 'hamburger', 'hot_and_sour_soup', 'hot_dog', 'huevos_rancheros', 'hummus', 'ice_cream', 'lasagna', 'beignets', 'lobster_bisque', 'lobster_roll_sandwich', 'macaroni_and_cheese', 'macarons', 'miso_soup', 'mussels', 'nachos', 'omelette', 'onion_rings', 'oysters', 'bibimbap', 'pad_thai', 'paella', 'pancakes', 'panna_cotta', 'peking_duck', 'pho', 'pizza', 'pork_chop', 'poutine', 'prime_rib', 'bread_pudding', 'pulled_pork_sandwich', 'ramen', 'ravioli', 'red_velvet_cake', 'risotto', 'samosa', 'sashimi', 'scallops', 'seaweed_salad', 'shrimp_and_grits', 'breakfast_burrito', 'spaghetti_bolognese', 'spaghetti_carbonara', 'spring_rolls', 'steak', 'strawberry_shortcake', 'sushi', 'tacos', 'takoyaki', 'tiramisu', 'tuna_tartare']",,,
nateraw/huggingpics-package-demo-2,224.0,768.0,['ViTForImageClassification'],,hfpics,3.0,"['corgi', 'husky', 'shibu inu']",,,
nateraw/pasta-pizza-ravioli,224.0,768.0,['ViTForImageClassification'],,hfpics,3.0,"['pasta', 'pizza', 'ravioli']",,,
nateraw/pasta-shapes,224.0,768.0,['ViTForImageClassification'],,hfpics,3.0,"['corgi', 'husky', 'shibu inu']",,,
nateraw/planes-trains-automobiles,224.0,768.0,['ViTForImageClassification'],,hfpics,3.0,"['automobiles', 'planes', 'trains']",,,
nateraw/rare-puppers,224.0,768.0,['ViTForImageClassification'],,hfpics,3.0,"['corgi', 'samoyed', 'shiba inu']",,,
nateraw/rare-puppers-09-04-2021,224.0,768.0,['ViTForImageClassification'],,hfpics,3.0,"['corgi', 'samoyed', 'shiba inu']",,,
nateraw/rare-puppers-123,224.0,768.0,['ViTForImageClassification'],,hfpics,3.0,"['corgi', 'samoyed', 'shiba inu']",,,
nateraw/rare-puppers-demo,224.0,768.0,['ViTForImageClassification'],,hfpics,4.0,"['corgi', 'husky', 'samoyed', 'shiba inu']",,,
nateraw/rare-puppers-new-auth,224.0,768.0,['ViTForImageClassification'],,hfpics,3.0,"['corgi', 'samoyed', 'shiba inu']",,,
nateraw/test_model_a,224.0,32.0,['ViTForImageClassification'],,cats_vs_dogs,2.0,"['cat', 'dog']",,,
nateraw/trainer-rare-puppers,224.0,768.0,['ViTForImageClassification'],,hfpics,3.0,"['corgi', 'samoyed', 'shiba inu']",,,
nateraw/vit-age-classifier,224.0,768.0,['ViTForImageClassification'],,age-prediction,9.0,"['0-2', '3-9', '10-19', '20-29', '30-39', '40-49', '50-59', '60-69', 'more than 70']",,,
nateraw/vit-base-beans,224.0,768.0,['ViTForImageClassification'],,beans,3.0,"['angular_leaf_spot', 'bean_rust', 'healthy']",,,
nateraw/vit-base-beans-demo,224.0,768.0,['ViTForImageClassification'],,beans,3.0,"['angular_leaf_spot', 'bean_rust', 'healthy']",,,
nateraw/vit-base-beans-demo-v2,224.0,768.0,['ViTForImageClassification'],,beans,3.0,"['angular_leaf_spot', 'bean_rust', 'healthy']",,,
nateraw/vit-base-beans-demo-v3,224.0,768.0,['ViTForImageClassification'],,beans,3.0,"['angular_leaf_spot', 'bean_rust', 'healthy']",,,
nateraw/vit-base-cats-vs-dogs,224.0,768.0,['ViTForImageClassification'],,cats_vs_dogs,2.0,"['cat', 'dog']",,,
nateraw/vit-base-food101,224.0,768.0,['ViTForImageClassification'],,food101,101.0,"['apple_pie', 'baby_back_ribs', 'bruschetta', 'waffles', 'caesar_salad', 'cannoli', 'caprese_salad', 'carrot_cake', 'ceviche', 'cheesecake', 'cheese_plate', 'chicken_curry', 'chicken_quesadilla', 'baklava', 'chicken_wings', 'chocolate_cake', 'chocolate_mousse', 'churros', 'clam_chowder', 'club_sandwich', 'crab_cakes', 'creme_brulee', 'croque_madame', 'cup_cakes', 'beef_carpaccio', 'deviled_eggs', 'donuts', 'dumplings', 'edamame', 'eggs_benedict', 'escargots', 'falafel', 'filet_mignon', 'fish_and_chips', 'foie_gras', 'beef_tartare', 'french_fries', 'french_onion_soup', 'french_toast', 'fried_calamari', 'fried_rice', 'frozen_yogurt', 'garlic_bread', 'gnocchi', 'greek_salad', 'grilled_cheese_sandwich', 'beet_salad', 'grilled_salmon', 'guacamole', 'gyoza', 'hamburger', 'hot_and_sour_soup', 'hot_dog', 'huevos_rancheros', 'hummus', 'ice_cream', 'lasagna', 'beignets', 'lobster_bisque', 'lobster_roll_sandwich', 'macaroni_and_cheese', 'macarons', 'miso_soup', 'mussels', 'nachos', 'omelette', 'onion_rings', 'oysters', 'bibimbap', 'pad_thai', 'paella', 'pancakes', 'panna_cotta', 'peking_duck', 'pho', 'pizza', 'pork_chop', 'poutine', 'prime_rib', 'bread_pudding', 'pulled_pork_sandwich', 'ramen', 'ravioli', 'red_velvet_cake', 'risotto', 'samosa', 'sashimi', 'scallops', 'seaweed_salad', 'shrimp_and_grits', 'breakfast_burrito', 'spaghetti_bolognese', 'spaghetti_carbonara', 'spring_rolls', 'steak', 'strawberry_shortcake', 'sushi', 'tacos', 'takoyaki', 'tiramisu', 'tuna_tartare']",,single_label_classification,
nateraw/vit-base-patch16-224-cifar10,224.0,768.0,['ViTForImageClassification'],,cifar10,10.0,"['LABEL_0', 'LABEL_1', 'LABEL_2', 'LABEL_3', 'LABEL_4', 'LABEL_5', 'LABEL_6', 'LABEL_7', 'LABEL_8', 'LABEL_9']",,,
nickmuchi/swin-tiny-patch4-window7-224-finetuned-eurosat,224.0,768.0,['SwinForImageClassification'],,eurosat,10.0,"['AnnualCrop', 'Forest', 'HerbaceousVegetation', 'Highway', 'Industrial', 'Pasture', 'PermanentCrop', 'Residential', 'River', 'SeaLake']",,single_label_classification,
nickmuchi/vit-base-beans,224.0,768.0,['ViTForImageClassification'],,beans,3.0,"['angular_leaf_spot', 'bean_rust', 'healthy']",,,
nickmuchi/vit-base-xray-pneumonia,224.0,768.0,['ViTForImageClassification'],,keremberke/chest-xray-classification,2.0,"['NORMAL', 'PNEUMONIA']",,single_label_classification,
nickmuchi/vit-finetuned-cats-dogs,224.0,768.0,['ViTForImageClassification'],,cats_vs_dogs,2.0,"['cat', 'dog']",,,
nickmuchi/vit-finetuned-chest-xray-pneumonia,224.0,768.0,['ViTForImageClassification'],,keremberke/chest-xray-classification,2.0,"['NORMAL', 'PNEUMONIA']",,single_label_classification,
nielsr/convnext-tiny-224-finetuned-eurosat-albumentations,224.0,768.0,['ConvNextForImageClassification'],,eurosat,10.0,"['AnnualCrop', 'Forest', 'HerbaceousVegetation', 'Highway', 'Industrial', 'Pasture', 'PermanentCrop', 'Residential', 'River', 'SeaLake']",,single_label_classification,
nielsr/convnext-tiny-finetuned-eurosat,224.0,768.0,['ConvNextForImageClassification'],,eurosat,10.0,"['AnnualCrop', 'Forest', 'HerbaceousVegetation', 'Highway', 'Industrial', 'Pasture', 'PermanentCrop', 'Residential', 'River', 'SeaLake']",,single_label_classification,
nielsr/convnext-tiny-finetuned-eurostat,224.0,768.0,['ConvNextForImageClassification'],,eurosat,10.0,"['AnnualCrop', 'Forest', 'HerbaceousVegetation', 'Highway', 'Industrial', 'Pasture', 'PermanentCrop', 'Residential', 'River', 'SeaLake']",,single_label_classification,
nielsr/convnext-xlarge-224-22k,224.0,2048.0,['ConvNextForImageClassification'],,imagenet-21k,21841.0,,,,
nielsr/convnext-xlarge-224-22k-1k,224.0,2048.0,['ConvNextForImageClassification'],,imagenet,1000.0,,,,
nielsr/swin-tiny-patch4-window7-224-finetuned-cifar10,224.0,768.0,['SwinForImageClassification'],,eurosat,10.0,"['AnnualCrop', 'Forest', 'HerbaceousVegetation', 'Highway', 'Industrial', 'Pasture', 'PermanentCrop', 'Residential', 'River', 'SeaLake']",,single_label_classification,
nielsr/swin-tiny-patch4-window7-224-finetuned-eurosat,224.0,768.0,['SwinForImageClassification'],,eurosat,10.0,"['AnnualCrop', 'Forest', 'HerbaceousVegetation', 'Highway', 'Industrial', 'Pasture', 'PermanentCrop', 'Residential', 'River', 'SeaLake']",,single_label_classification,
nielsr/van-base-finetuned-eurosat-imgaug,224.0,512.0,['VanForImageClassification'],,eurosat,10.0,"['AnnualCrop', 'Forest', 'HerbaceousVegetation', 'Highway', 'Industrial', 'Pasture', 'PermanentCrop', 'Residential', 'River', 'SeaLake']",,single_label_classification,
nielsr/vit-base-patch16-224-in21k-finetuned-cifar10,224.0,768.0,['ViTForImageClassification'],,eurosat,10.0,"['AnnualCrop', 'Forest', 'HerbaceousVegetation', 'Highway', 'Industrial', 'Pasture', 'PermanentCrop', 'Residential', 'River', 'SeaLake']",,single_label_classification,
nielsr/vit-finetuned-eurosat-kornia,224.0,768.0,['ViTForImageClassification'],,eurosat,10.0,"['AnnualCrop', 'Forest', 'HerbaceousVegetation', 'Highway', 'Industrial', 'Pasture', 'PermanentCrop', 'Residential', 'River', 'SeaLake']",,single_label_classification,
